Title,Description,Instructor,Rating,Price,Details,Page
"AWS Certified Cloud Practitioner Practice Exams CLF-C02
AWS Certified Cloud Practitioner Practice Tests | Detailed Explanations | Cover All Exam Topics | 6 Mock Exams [CLF-C02]",AWS Certified Cloud Practitioner Practice Tests | Detailed Explanations | Cover All Exam Topics | 6 Mock Exams [CLF-C02],Mohamed Ali | AWS Certified Cloud Practitioner | Solutions Architect | Developer,"Rating: 4.6 out of 5
4.6
(28,401)","Current price
$74.99","390 questions
Beginner",2
"Complete Agile Scrum Master Certification Training
Get PSM™ I certified on your first try in 2025! Agile Scrum Simulation + 340 PSM I Practice Questions + [EXTRA] PSM II",Get PSM™ I certified on your first try in 2025! Agile Scrum Simulation + 340 PSM I Practice Questions + [EXTRA] PSM II,"Omni Academy 500,000+ students, Mirko Perkusich, Ph.D., Gustavo Farias 600.000+ Alunos, Omni Academy - Student Care & Support","Rating: 4.6 out of 5
4.6
(28,315)","Current price
$64.99","6 total hours
123 lectures
Beginner",2
"Agile Scrum for Beginners + Scrum Master Certification Prep
[UNOFFICIAL] Learn Scrum, understand the Agile principles + prepare for your Agile/Scrum Master certification in 2025","[UNOFFICIAL] Learn Scrum, understand the Agile principles + prepare for your Agile/Scrum Master certification in 2025","Valentin Despa, Valentin Despa - Support","Rating: 4.7 out of 5
4.7
(28,091)","Current price
$64.99","14.5 total hours
134 lectures
All Levels",3
"Six Sigma: Certified Lean Six Sigma Green Belt (Accredited)
Lean Six Sigma Green Belt (Accredited) | Master Lean Six Sigma Green Belt, Minitab, Green Belt Case Study | Earn PDUs","Lean Six Sigma Green Belt (Accredited) | Master Lean Six Sigma Green Belt, Minitab, Green Belt Case Study | Earn PDUs",Advanced Innovation Group Pro Excellence (AIGPE),"Rating: 4.6 out of 5
4.6
(27,558)","Current price
$79.99","18 total hours
511 lectures
Intermediate",3
"AWS Certified Cloud Practitioner Practice Exams CLF-C02
[2026] AWS Certified Cloud Practitioner [CLF-C02] 6 Practice Tests + Exam Simulator + Explanations + AWS Cheat Sheets",[2026] AWS Certified Cloud Practitioner [CLF-C02] 6 Practice Tests + Exam Simulator + Explanations + AWS Cheat Sheets,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate","Rating: 4.5 out of 5
4.5
(27,531)","Current price
$74.99","390 questions
All Levels",3
"AZ-303 Azure Architecture Technologies Exam Prep
Prove your Azure Architect Technology skills to the world. Complete AZ-303 course.",Prove your Azure Architect Technology skills to the world. Complete AZ-303 course.,"Scott Duffy • 1.000.000+ Students, Software Architect.ca","Rating: 4.7 out of 5
4.7
(27,282)","Current price
$69.99","12.5 total hours
152 lectures
Intermediate",3
"[NEW] AWS Certified Cloud Practitioner 2026
Video Course + Practice Tests | Pass the AWS Cloud Practitioner Exam!",Video Course + Practice Tests | Pass the AWS Cloud Practitioner Exam!,Zeal Vora,"Rating: 4.5 out of 5
4.5
(27,249)","Current price
$19.99","27 total hours
209 lectures
Beginner",3
"Snowflake – The Complete Masterclass
Master Snowflake &amp; cloud data warehouse from the ground up",Master Snowflake & cloud data warehouse from the ground up,Nikolai Schuler,"Rating: 4.6 out of 5
4.6
(27,024)","Current price
$109.99","16.5 total hours
178 lectures
All Levels",3
"AZ-104 Microsoft Azure Administrator Certification
Preparation for Microsoft Azure Administrator Certification AZ-104 exam.",Preparation for Microsoft Azure Administrator Certification AZ-104 exam.,Alan Rodrigues,"Rating: 4.6 out of 5
4.6
(26,657)","Current price
$74.99","27 total hours
313 lectures
All Levels",3
"Ultimate AWS Certified Solutions Architect Professional 2026
Be AWS Certified Solutions Architect Professional. Full Amazon Web Services Solution Architecture deep-dive for SAP-C02",Be AWS Certified Solutions Architect Professional. Full Amazon Web Services Solution Architecture deep-dive for SAP-C02,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","Rating: 4.6 out of 5
4.6
(25,305)","Current price
$79.99","16.5 total hours
205 lectures
Expert",3
"CCNA 2020 200-125 Video Boot Camp With Chris Bryant
Join The 90,000+ Students Who Are Learning Real-World Skills AND Earning Their CCNA!","Join The 90,000+ Students Who Are Learning Real-World Skills AND Earning Their CCNA!",Chris Bryant,"Rating: 4.6 out of 5
4.6
(25,275)","Current price
$74.99","62.5 total hours
467 lectures
Beginner",3
"Amazon Web Services (AWS) Certified - 5 Certifications!
AWS Certified (AI & Cloud Practitioner, Solutions Architect, Developer, SysOps Administrator Associate)","AWS Certified (AI & Cloud Practitioner, Solutions Architect, Developer, SysOps Administrator Associate)","BackSpace Academy, Paul Coady","Rating: 4.6 out of 5
4.6
(25,092)","Current price
$74.99","54.5 total hours
218 lectures
All Levels",3
"TOTAL: CompTIA A+ Core 2 (220-1202) Course + Practice Exam
Everything you need to pass the A+ Cert. Core 2 (220-1202) Exam, from Mike Meyers and Total Seminars with practice exam.","Everything you need to pass the A+ Cert. Core 2 (220-1202) Exam, from Mike Meyers and Total Seminars with practice exam.","Total Seminars Over 1 Million Enrollments, Mike Meyers, Dakota Snow","Rating: 4.7 out of 5
4.7
(24,914)","Current price
$19.99","21.5 total hours
155 lectures
All Levels",3
"ITIL 4 Foundation Practice Certification Exams (6 Exams)
6 Full-length ITIL 4 Foundation Timed Tests *** 40 Questions Each & 240 Questions Total (With feedback on each question)",6 Full-length ITIL 4 Foundation Timed Tests *** 40 Questions Each & 240 Questions Total (With feedback on each question),"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","Rating: 4.6 out of 5
4.6
(24,562)","Current price
$64.99","240 questions
Beginner",3
"CISSP Certification: CISSP Domain 1 & 2 Boot Camp 2025 Exam
Take the CISSP Domain 1 and 2 2025 certifications boot camp: Get 9 hours of video, study guides, and practice questions","Take the CISSP Domain 1 and 2 2025 certifications boot camp: Get 9 hours of video, study guides, and practice questions","Thor Pedersen | 670,000+ Enrollments Worldwide, ThorTeaches.com Support","Rating: 4.7 out of 5
4.7
(22,545)","Current price
$79.99","9 total hours
68 lectures
All Levels",3
"AWS Certified Solutions Architect Associate (SAA-C03) Course
2026 AWS Certified Solutions Architect Associate Video Course SAA-C03 | Hands-on Exercises + AWS Practice Exam + Slides",2026 AWS Certified Solutions Architect Associate Video Course SAA-C03 | Hands-on Exercises + AWS Practice Exam + Slides,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate","Rating: 4.6 out of 5
4.6
(22,487)","Current price
$74.99","23 total hours
290 lectures
All Levels",3
"AWS Certified CloudOps Engineer Associate SOA-C03 2026
Full Practice Test with Explanations included! PASS the AWS Certified CloudOps Engineer Associate SOA-C03 Exam",Full Practice Test with Explanations included! PASS the AWS Certified CloudOps Engineer Associate SOA-C03 Exam,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","Rating: 4.7 out of 5
4.7
(21,591)","Current price
$79.99","25 total hours
391 lectures
All Levels",3
"Practice Exams | AWS Certified Solutions Architect Associate
Prepare for your SAA-C03 exam. 390 high-quality practice test questions written from scratch with detailed explanations!",Prepare for your SAA-C03 exam. 390 high-quality practice test questions written from scratch with detailed explanations!,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh","Rating: 4.6 out of 5
4.6
(21,322)","Current price
$74.99","390 questions
Beginner",3
"The Complete Agile Scrum Fundamentals Course + Certification
Agile Scrum from A to Z: Scrum a Project Management methodology, Scrum Fundamentals, Scrum concepts, Agile Scrum tools","Agile Scrum from A to Z: Scrum a Project Management methodology, Scrum Fundamentals, Scrum concepts, Agile Scrum tools","YESI EDUCATION, Mauricio Rubio - Agile Guru & Founder of YESI EDUCATION, AgileKB & Grabdl","Rating: 4.4 out of 5
4.4
(20,914)","Current price
$79.99","15 total hours
107 lectures
Beginner",4
"AWS Certified DevOps Engineer Professional 2026 - DOP-C02
Pass the AWS Certified DevOps Engineer Professional Certification (DOP-C02) with 20 hours of advanced videos.",Pass the AWS Certified DevOps Engineer Professional Certification (DOP-C02) with 20 hours of advanced videos.,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","Rating: 4.6 out of 5
4.6
(20,227)","Current price
$79.99","17 total hours
247 lectures
Intermediate",4
"Salesforce Certified Platform Administrator (Mar 2026)
Updated Mar 2026 - Want to pass the Salesforce Admin Exam? with a focused course including mock test and best practice?",Updated Mar 2026 - Want to pass the Salesforce Admin Exam? with a focused course including mock test and best practice?,"Francis Pindar | Salesforce Certified Architect & 7x Salesforce MVP, Admin To Architect","Rating: 4.6 out of 5
4.6
(18,712)","Current price
$69.99","22.5 total hours
143 lectures
Beginner",4
"70-461, 761: Querying Microsoft SQL Server with Transact-SQL
From Tables and SELECT queries to advanced SQL. SQL Server 2012, 2014, 2016, 2017, 2019, and 2022. Helps with DP-600","From Tables and SELECT queries to advanced SQL. SQL Server 2012, 2014, 2016, 2017, 2019, and 2022. Helps with DP-600","Phillip Burton • over one million students so far, I Do Data Limited","Rating: 4.6 out of 5
4.6
(18,423)","Current price
$74.99","28.5 total hours
270 lectures
Beginner",4
"GCP for Beginners - Become a Google Cloud Digital Leader
Google Cloud for Beginners. Start Cloud Computing with GCP and become a Cloud Digital Leader.",Google Cloud for Beginners. Start Cloud Computing with GCP and become a Cloud Digital Leader.,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect","Rating: 4.6 out of 5
4.6
(17,210)","Current price
$59.99","12.5 total hours
209 lectures
All Levels",4
"Snowflake Decoded - Master the Fundamental Concepts
Become a Snowflake Professional with hands-on training and expert guidance from an industry pro",Become a Snowflake Professional with hands-on training and expert guidance from an industry pro,Hamid Qureshi,"Rating: 4.6 out of 5
4.6
(16,741)","Current price
$64.99","5 total hours
83 lectures
Intermediate",4
"AWS Certified Machine Learning Specialty 2026 - Hands On!
AWS machine learning certification preparation - learn SageMaker, generative AI, data engineering, modeling & more","AWS machine learning certification preparation - learn SageMaker, generative AI, data engineering, modeling & more","Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Frank Kane, Sundog Education Team","Rating: 4.5 out of 5
4.5
(16,626)","Current price
$79.99","15 total hours
167 lectures
All Levels",4
"Python Data Structures & Algorithms + LEETCODE Exercises
DSA + LEETCODE for Coding Interviews — Clear, Step-by-Step Animated Walkthroughs!","DSA + LEETCODE for Coding Interviews — Clear, Step-by-Step Animated Walkthroughs!",Scott Barrett,"Rating: 4.7 out of 5
4.7
(16,067)","Current price
$59.99","10.5 total hours
139 lectures
All Levels",4
"Identity and Access Management (IAM)
Managing identities and their access level is the most important part of cyber security frameworks",Managing identities and their access level is the most important part of cyber security frameworks,Rassoul Zadeh,"Rating: 4.5 out of 5
4.5
(15,997)","Current price
$69.99","10.5 total hours
126 lectures
Beginner",4
"Six Sigma: Certified Lean Six Sigma White Belt (Accredited)
Master Lean Six Sigma | Lean Six Sigma Simple and Easy! CPD Accredited Six Sigma Course | Get 2 PMI PDUs /PDCs/CPDs",Master Lean Six Sigma | Lean Six Sigma Simple and Easy! CPD Accredited Six Sigma Course | Get 2 PMI PDUs /PDCs/CPDs,"Sandeep Kumar, ­ Quality Gurus Inc.","Rating: 4.7 out of 5
4.7
(15,958)","Current price
$64.99","1 total hour
19 lectures
Beginner",4
"Databricks Certified Data Engineer Associate - Preparation
UPDATED: V25 JULY 2025 | Complete preparation for Databricks Data Engineer Associate certification + hands-on training",UPDATED: V25 JULY 2025 | Complete preparation for Databricks Data Engineer Associate certification + hands-on training,"Derar Alhussein | 10x Databricks Certified, Acadford ™","Rating: 4.5 out of 5
4.5
(15,787)","Current price
$59.99","5 total hours
50 lectures
All Levels",4
"Salesforce Tableau Data Analyst/Specialist Desktop Cert Prep
From beginners to skills needed for Tableau Data Analyst or Desktop Specialist certifications.",From beginners to skills needed for Tableau Data Analyst or Desktop Specialist certifications.,"Phillip Burton • over one million students so far, I Do Data Limited","Rating: 4.5 out of 5
4.5
(15,072)","Current price
$79.99","15.5 total hours
182 lectures
Beginner",4
"AI-900 Azure AI Fundamentals Exam Prep In One Day
Learn the basics of Azure AI and ML services and get certified with this complete AI-900 course!",Learn the basics of Azure AI and ML services and get certified with this complete AI-900 course!,"Scott Duffy • 1.000.000+ Students, Software Architect.ca","Rating: 4.6 out of 5
4.6
(14,610)","Current price
$79.99","3.5 total hours
41 lectures
All Levels",4
"Azure Fundamentals: AZ-900 Certification +Practice Questions
Updated October 2025",Updated October 2025,Kevin Brown,"Rating: 4.6 out of 5
4.6
(14,488)","Current price
$79.99","11 total hours
146 lectures
Beginner",4
"GCP Professional Cloud Architect: Google Cloud Certification
Become a GCP Cloud Architect. Architect Google Cloud Platform (GCP) Solutions. Includes 4 New Case Studies.",Become a GCP Cloud Architect. Architect Google Cloud Platform (GCP) Solutions. Includes 4 New Case Studies.,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect","Rating: 4.6 out of 5
4.6
(14,222)","Current price
$99.99","23 total hours
365 lectures
All Levels",4
"PL-900 prep: Microsoft Power Platform Fundamentals
Learn about Power Apps, Power Automate, Power BI, the AI Builder and the Dataverse (CDS) - for Microsoft's PL-900 exam.","Learn about Power Apps, Power Automate, Power BI, the AI Builder and the Dataverse (CDS) - for Microsoft's PL-900 exam.","Phillip Burton • over one million students so far, I Do Data Limited","Rating: 4.5 out of 5
4.5
(14,181)","Current price
$79.99","6.5 total hours
84 lectures
Beginner",4
"MD-102 Endpoint Administrator Associate course with SIMS!
Get prepared for the MD-102 with instructor led labs & hands on simulations available 24/7",Get prepared for the MD-102 with instructor led labs & hands on simulations available 24/7,"John Christopher | 490,000+ enrollments","Rating: 4.6 out of 5
4.6
(14,070)","Current price
$64.99","11.5 total hours
89 lectures
All Levels",5
"DP-203 - Data Engineering on Microsoft Azure
Preparation for DP-203 Data Engineering on Microsoft Azure exam",Preparation for DP-203 Data Engineering on Microsoft Azure exam,Alan Rodrigues,"Rating: 4.3 out of 5
4.3
(13,650)","Current price
$59.99","21.5 total hours
279 lectures
All Levels",5
"Informatica PowerCenter - Beginner to Expert Level
Master Informatica, server installation to advanced data processing, in-depth exploration of transformation techniques","Master Informatica, server installation to advanced data processing, in-depth exploration of transformation techniques",Smart Coders Hub,"Rating: 4.4 out of 5
4.4
(13,638)","Current price
$74.99","19.5 total hours
152 lectures
All Levels",5
